Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1840.0
FDW14,OUT017,1588.0
NCN55,OUT010,1902.0
FDQ58,OUT017,2608.0
FDY38,OUT027,5178.0
FDH56,OUT046,1948.0
FDL48,OUT018,598.0
FDC48,OUT027,2780.0
FDN33,OUT045,1524.0
FDA36,OUT017,3104.0
FDT44,OUT017,2012.0
FDQ56,OUT045,1326.0
NCC54,OUT019,1864.0
FDU11,OUT049,2044.0
DRL59,OUT013,872.0
FDM24,OUT049,2548.0
FDI57,OUT045,3104.0
DRC12,OUT018,2774.0
NCM42,OUT027,3200.0
FDA46,OUT010,1150.0
FDA31,OUT013,2764.0
NCJ31,OUT035,3852.0
FDG52,OUT046,824.0
NCL19,OUT019,378.0
FDS10,OUT035,2996.0
FDX22,OUT010,1484.0
NCF19,OUT035,902.0
NCE06,OUT046,2564.0
DRC27,OUT046,3886.0
FDE21,OUT035,2000.0
NCR42,OUT019,-1348.0
FDX51,OUT018,2870.0
NCR06,OUT018,434.0
FDU31,OUT027,4948.0
FDU59,OUT017,2728.0
FDR03,OUT027,4756.0
FDS49,OUT027,2752.0
FDD48,OUT010,-50.0
NCF18,OUT017,3140.0
NCD43,OUT027,3106.0
NCD54,OUT018,1998.0
FDY19,OUT010,-14.0
NCY54,OUT017,2832.0
NCL19,OUT018,2024.0
FDP23,OUT010,1554.0
FDC26,OUT013,1784.0
FDR14,OUT010,-1024.0
NCS41,OUT035,3008.0
FDF41,OUT035,4018.0
FDU34,OUT046,2022.0
DRH11,OUT046,962.0
FDM03,OUT013,1700.0
FDS31,OUT017,3048.0
FDJ20,OUT017,2116.0
FDV44,OUT027,4492.0
FDG02,OUT049,3100.0
FDA09,OUT013,2872.0
FDT04,OUT013,640.0
FDL58,OUT019,2296.0
FDE52,OUT045,1464.0
FDW12,OUT035,2482.0
FDL51,OUT017,3572.0
NCY42,OUT027,3696.0
FDR07,OUT017,1684.0
FDN40,OUT045,2378.0
FDB35,OUT027,2956.0
FDA22,OUT017,2756.0
NCL06,OUT046,4144.0
FDI35,OUT013,2884.0
NCW42,OUT045,3434.0
NCX06,OUT049,2940.0
FDC37,OUT027,3198.0
FDZ14,OUT018,1732.0
DRG49,OUT049,3958.0
NCG06,OUT045,3982.0
DRC36,OUT045,2754.0
FDV21,OUT019,52.0
FDB53,OUT046,2374.0
DRP47,OUT019,2048.0
FDA14,OUT013,2316.0
DRC24,OUT035,2560.0
FDW21,OUT018,1408.0
NCH29,OUT046,1584.0
FDU58,OUT013,3044.0
FDY27,OUT017,2956.0
FDV56,OUT035,1928.0
FDT59,OUT046,3684.0
FDB23,OUT046,3650.0
FDR49,OUT045,706.0
FDB03,OUT010,1930.0
FDN39,OUT045,2636.0
FDX02,OUT027,4980.0
FDQ16,OUT027,3188.0
FDU35,OUT018,1324.0
NCT29,OUT013,1932.0
FDZ27,OUT046,844.0
FDN57,OUT017,2368.0
FDA03,OUT018,2094.0
FDZ36,OUT045,2942.0
NCU05,OUT013,1296.0
FDT39,OUT018,2192.0
FDK60,OUT017,1728.0
FDZ25,OUT017,2868.0
FDG12,OUT046,2042.0
DRB01,OUT019,1128.0
NCC43,OUT027,5376.0
FDX13,OUT019,2040.0
FDM22,OUT049,1024.0
FDJ03,OUT027,2308.0
FDU14,OUT018,3676.0
FDB33,OUT010,658.0
FDP27,OUT046,3032.0
FDO38,OUT010,-650.0
FDE28,OUT027,5140.0
FDO27,OUT035,1672.0
DRL23,OUT027,3180.0
FDS28,OUT046,990.0
FDX24,OUT013,1512.0
FDZ02,OUT035,1728.0
FDL46,OUT045,1830.0
FDS60,OUT027,4296.0
NCO06,OUT017,658.0
FDO16,OUT035,1508.0
FDC60,OUT049,1536.0
FDA48,OUT018,3192.0
FDZ36,OUT027,4448.0
FDK27,OUT045,1902.0
FDW23,OUT018,380.0
FDM14,OUT018,1508.0
FDM14,OUT013,1756.0
FDW60,OUT018,2604.0
FDE21,OUT013,1880.0
NCM42,OUT035,1866.0
FDY59,OUT010,-362.0
DRI49,OUT049,1374.0
FDT28,OUT019,516.0
FDQ22,OUT018,406.0
FDR60,OUT049,1320.0
FDC50,OUT019,-400.0
FDV24,OUT013,2408.0
DRF48,OUT010,1108.0
FDQ47,OUT046,664.0
DRN36,OUT049,1662.0
NCY06,OUT035,2156.0
FDE52,OUT035,1624.0
NCB54,OUT045,1964.0
NCF31,OUT035,2532.0
FDJ08,OUT027,4446.0
NCC07,OUT017,1820.0
NCD19,OUT027,2334.0
FDL46,OUT049,2000.0
FDM20,OUT045,3848.0
NCI06,OUT010,954.0
DRM11,OUT035,4208.0
NCH07,OUT018,2216.0
FDS23,OUT013,2048.0
FDO49,OUT018,596.0
FDS35,OUT049,1148.0
DRK39,OUT045,1290.0
DRI39,OUT049,1040.0
FDV04,OUT017,2660.0
NCN14,OUT035,2986.0
FDH08,OUT013,3664.0
FDS20,OUT046,2932.0
FDV40,OUT049,1336.0
FDZ48,OUT010,-126.0
FDS24,OUT027,2912.0
FDK44,OUT049,2844.0
FDS48,OUT045,2360.0
FDK26,OUT010,1128.0
FDD23,OUT045,2990.0
NCH54,OUT017,2668.0
NCP14,OUT010,-226.0
FDM60,OUT010,-1174.0
FDV24,OUT017,2524.0
FDH08,OUT018,3354.0
FDS12,OUT027,3460.0
FDR39,OUT027,4312.0
FDP12,OUT027,2122.0
